character;weights;specific_weights;center_of_mass;norm_center_of_mass;moments;norm_moments
ё;38,55,88,62;0.2375,0.3125,0.5176470588235295,0.3315508021390374;9.786008230452675,17.7119341563786;0.4660003919263178,0.5367252774660182;7250.872427983539,21847.8353909465;0.06766208885514159,0.08256087017177574
і;20,28,40,58;0.18518518518518517,0.2222222222222222,0.37037037037037035,0.4603174603174603;5.917808219178082,21.335616438356166;0.45521601685985247,0.5926560121765602;435.013698630137,15212.554794520549;0.017630449000167667,0.08039782467931121
а;38,51,59,61;0.3140495867768595,0.4214876033057851,0.44696969696969696,0.4621212121212121;10.440191387559809,11.913875598086124;0.4745541539799913,0.5179945912211358;6569.502392344498,10278.44976076555;0.06494426818324665,0.09296632411759617
б;65,71,87,78;0.30092592592592593,0.3034188034188034,0.4027777777777778,0.3333333333333333;11.548172757475083,17.963455149501662;0.4619269102990033,0.49898486526393504;14702.55149501661,33086.59800664452;0.07815309764792883,0.08481655286556262
в;59,53,63,66;0.48760330578512395,0.4380165289256198,0.4772727272727273,0.5;10.908713692946058,11.120331950207468;0.495850622406639,0.48349269348728124;8031.991701244812,12145.510373443982;0.06885902147769977,0.09526712401418147
г;52,27,56,2;0.4727272727272727,0.2231404958677686,0.4666666666666667,0.015151515151515152;8.145985401459853,9.233576642335766;0.3879040667361835,0.40145985401459855;2557.080291970803,8268.525547445255;0.04232385408032181,0.11409111734639459
д;32,70,47,64;0.17582417582417584,0.38461538461538464,0.24102564102564103,0.3282051282051282;14.690140845070422,13.107981220657276;0.5650054171180932,0.4519993524364578;9371.549295774648,15948.516431924883;0.06508562724514994,0.08903170511254142
е;43,58,60,36;0.39090909090909093,0.4793388429752066,0.5,0.2727272727272727;9.48730964467005,11.187817258883248;0.45177664974619286,0.48642683734274994;6131.218274111675,9200.05076142132;0.07057354966345149,0.08828121982306737
ж;72,71,93,93;0.36363636363636365,0.35858585858585856,0.4305555555555556,0.4305555555555556;17.407294832826747,11.285714285714286;0.48353596757852074,0.49068322981366463;24221.422492401212,17739.14285714286;0.05680659333464955,0.10192508005092397
з;27,52,13,61;0.2727272727272727,0.4727272727272727,0.12037037037037036,0.5083333333333333;11.34640522875817,10.294117647058824;0.5971792225662195,0.44757033248081846;3300.6405228758167,8471.764705882353;0.059758487188380435,0.10467109858139483
и;54,64,69,59;0.3776223776223776,0.44755244755244755,0.4423076923076923,0.3782051282051282;12.426829268292684,11.024390243902438;0.4779549718574109,0.4793213149522799;12174.18292682927,12833.853658536587;0.07320791195716836,0.09862029645239974
й;63,62,89,89;0.2850678733031674,0.28054298642533937,0.40271493212669685,0.40271493212669685;12.425742574257425,18.48184818481848;0.4779131759329779,0.5435837701417201;13682.079207920791,29447.650165016497;0.06679789485773815,0.08407176837454891
к;60,38,65,59;0.45454545454545453,0.2878787878787879,0.4513888888888889,0.4097222222222222;10.472972972972974,11.324324324324325;0.4363738738738739,0.49236192714453586;7553.3378378378375,12016.64864864865;0.059069521379487594,0.10232334209241174
л;27,60,42,59;0.20454545454545456,0.4195804195804196,0.2916666666666667,0.3782051282051282;13.819148936170214,11.164893617021276;0.5527659574468086,0.4854301572617946;7629.851063829787,11759.888297872338;0.0649349026708918,0.11824687585842757
м;72,65,74,74;0.43636363636363634,0.3693181818181818,0.4111111111111111,0.3854166666666667;15.235087719298246,11.035087719298245;0.4914544425580079,0.47978642257818455;20725.24912280702,13407.649122807017;0.07567135521407532,0.0889307805048056
н;59,59,63,63;0.4125874125874126,0.4125874125874126,0.40384615384615385,0.40384615384615385;12.434426229508198,10.959016393442623;0.47824716267339223,0.4764789736279401;12147.950819672133,12697.590163934427;0.07364894036565217,0.09837297533185431
о;46,54,60,50;0.3484848484848485,0.4090909090909091,0.4166666666666667,0.3472222222222222;11.452380952380953,10.99047619047619;0.4771825396825397,0.47784679089026916;10716.02380952381,8881.980952380953;0.08859146667926429,0.07995301964516116
п;60,59,58,58;0.4195804195804196,0.4125874125874126,0.3717948717948718,0.3717948717948718;12.425531914893616,10.519148936170213;0.4779050736497545,0.45735430157261797;12027.446808510638,13796.663829787236;0.07571098330927004,0.11098148919910901
р;79,94,85,26;0.3574660633484163,0.4253393665158371,0.38461538461538464,0.11764705882352941;12.221830985915492,13.721830985915492;0.47007042253521125,0.4035832642916321;13197.024647887323,27137.024647887323;0.06874023172705707,0.08265822118489974
с;37,34,61,35;0.33636363636363636,0.2809917355371901,0.5083333333333333,0.26515151515151514;8.652694610778443,11.838323353293413;0.4120330767037354,0.5147097110127571;5233.856287425149,8704.634730538923;0.071066795489635,0.09853225191060891
т;44,46,29,32;0.36363636363636365,0.3484848484848485,0.2196969696969697,0.2222222222222222;10.728476821192054,8.940397350993377;0.4664555139648719,0.3887129283040599;2979.8675496688743,9280.463576158942;0.03730476783220714,0.11618151924985218
у;82,52,54,20;0.37104072398190047,0.23529411764705882,0.24434389140271492,0.09049773755656108;10.927884615384615,13.802884615384615;0.4203032544378698,0.40596719457013575;6669.918269230769,23060.918269230773;0.04743626443183011,0.0959081309440327
ф;102,91,117,110;0.2956521739130435,0.263768115942029,0.325,0.3055555555555556;14.102380952380953,23.783333333333335;0.4700793650793651,0.5060283687943262;24308.59761904762,53279.28333333333;0.06430845930964979,0.0574266349062637
х;61,33,38,63;0.42657342657342656,0.23076923076923078,0.24358974358974358,0.40384615384615385;12.082051282051282,10.907692307692308;0.46469428007889546,0.474247491638796;5760.6871794871795,11284.338461538462;0.04370116203525398,0.10939206496571627
ц;66,66,52,69;0.3626373626373626,0.3626373626373626,0.26666666666666666,0.35384615384615387;13.217391304347826,12.383399209486166;0.5083612040133779,0.4270137658443506;14137.043478260872,16561.810276679844;0.08265923403337976,0.07783793186485054
ч;53,56,20,66;0.3706293706293706,0.3916083916083916,0.1282051282051282,0.4230769230769231;13.938461538461539,9.333333333333334;0.5360946745562131,0.4057971014492754;7741.261538461538,9321.333333333332;0.05872600165727157,0.09036239962515953
ш;81,80,96,96;0.3875598086124402,0.3827751196172249,0.42105263157894735,0.42105263157894735;18.48441926345609,11.55240793201133;0.4864320858804234,0.5022786057396231;40654.164305949,20647.28045325779;0.07975595863306405,0.11056877026651274
щ;99,98,78,92;0.37218045112781956,0.3684210526315789,0.2736842105263158,0.32280701754385965;19.149863760217983,12.049046321525886;0.5039437831636311,0.4154843559146857;44772.75749318801,22965.11716621253;0.08448519004352882,0.0744057682926208
ъ;69,10,57,72;0.4825174825174825,0.06993006993006994,0.36538461538461536,0.46153846153846156;12.629807692307692,12.033653846153847;0.4857618343195266,0.5232023411371237;7838.4951923076915,10596.764423076922;0.055747149467368085,0.09630620567722956
ы;63,55,84,102;0.35795454545454547,0.29411764705882354,0.4375,0.5;15.80921052631579,12.12828947368421;0.47906698564593303,0.5273169336384439;26812.93421052632,15441.996710526319;0.0809921409384706,0.09602276334771614
ь;57,6,63,65;0.47107438016528924,0.049586776859504134,0.4772727272727273,0.49242424242424243;9.471204188481675,12.842931937172775;0.43050928129462157,0.5583883450944684;5749.59162303665,8715.287958115183;0.06219540070785178,0.08625667275126617
э;27,57,16,54;0.24545454545454545,0.47107438016528924,0.13333333333333333,0.4090909090909091;12.448051948051948,10.077922077922079;0.5927643784786641,0.4381705251270469;4208.084415584415,7529.0649350649355;0.06196195799959383,0.0924197203135656
ю;85,72,93,80;0.4292929292929293,0.3444976076555024,0.4305555555555556,0.3508771929824561;17.496969696969696,11.021212121212121;0.47289107289107285,0.47918313570487486;38170.49696969697,15048.851515151517;0.08449099535094622,0.08620525585811718
я;53,58,51,68;0.4015151515151515,0.4393939393939394,0.3541666666666667,0.4722222222222222;12.647826086956522,10.92608695652174;0.5269927536231884,0.4750472589792061;6478.473913043478,11595.743478260869;0.048901524102079395,0.09530486955092356
